# i  x  y  z   fx  fy  fz   energy
223 2.61674 -0.20798 -4.73286 -0.00943158 0.0250851 0.00373694 -0.0270572
224 3.76997 -4.64396 4.10845 -0.020141 0.00940966 -0.0156192 -0.0251384
225 -7.65979 7.17112 -2.76182 -0.00230185 0.0055707 0.00757143 -0.0230638
226 -7.36543 14.7159 0.12391 -0.0112543 0.0399236 0.00362884 -0.0207549
227 12.8004 -15.5423 3.84986 -0.00147139 -0.0274745 -0.0184088 -0.0188443
228 9.25685 1.68923 0.87372 -0.000879954 0.00962405 -0.004904 -0.0188802
229 7.9307 -10.6672 -12.3273 -0.0256038 0.000204535 -0.0267937 -0.0249557
230 0.1735 -4.09623 9.59584 0.0113935 0.00454453 -0.0180894 -0.0180418
231 -12.2849 12.2424 -14.5712 0.021522 0.00666073 -0.0440221 -0.0205039
232 -12.6819 -7.89368 1.46339 0.0226281 0.0059954 0.0125988 -0.0280375
233 -6.73362 -14.0047 -12.5854 0.00845758 -0.0108394 -0.000660417 -0.0188969
234 5.09378 14.6764 -4.28984 -0.00544351 0.0329186 -0.00893808 -0.0128879
235 8.30771 5.5756 -3.11335 -0.00942289 0.00495747 -0.00922729 -0.015855
236 -13.7457 -9.15199 -0.57376 -0.0295882 -0.0119109 0.0126579 -0.0248726
237 -6.69302 1.01918 -0.95392 0.00684009 -0.0075031 0.00674789 -0.0188785
238 11.4639 -4.89537 6.21266 -0.00168271 -0.00563098 0.0187368 -0.0222895
239 3.06758 2.43253 -6.14262 -0.000351014 0.00309862 0.00173629 -0.0158967
240 -4.20046 12.4656 -3.3326 0.0122819 -0.00897791 0.0035994 -0.0252472
241 7.64809 -3.47535 -2.78738 -0.0248661 -0.0239753 0.0109499 -0.0261429
242 -1.76764 -14.7257 -6.34545 0.00349495 -0.00608029 0.00541836 -0.00919432
243 -13.9035 4.70536 9.97599 -0.00836796 0.000477922 0.0160321 -0.0191576
244 -7.02791 -1.51344 1.50666 0.00328038 -0.0133244 -0.0294764 -0.0229455
245 -0.11468 3.45996 -1.29313 -0.0218092 -0.0114372 0.000949504 -0.0237056
246 10.6949 -10.9104 -3.22914 0.0206097 0.0104347 0.00337043 -0.0186396
247 11.8861 -13.1578 4.74118 -0.00351212 0.0160119 0.00180982 -0.019541
248 0.74766 -5.82206 3.84381 0.000195577 -0.0109944 -0.00735813 -0.0271054
249 5.92224 3.15352 -3.32992 -0.00968787 0.0110961 -0.00809654 -0.0200057
250 11.3669 -16.1719 9.55598 0.00308782 -0.0073921 -0.00104791 -0.00489833
251 12.6254 -9.25771 -0.81575 0.00262944 -0.0444174 0.00215318 -0.0239219
252 3.67228 11.7426 -4.07467 -0.0119374 0.00247468 0.0194295 -0.027244
253 -6.39611 -12.772 -10.0899 -0.00517099 -0.00414523 0.00216742 -0.0226912
254 1.43105 5.28501 6.23738 -0.0189352 0.00817519 -0.0108843 -0.0249462
255 -8.04737 -12.8562 11.7179 -0.0395036 0.0107741 -0.0064684 -0.0185473
256 -10.2611 7.50383 5.99538 -0.00557543 0.0139147 -0.00385851 -0.0217582
257 -2.25693 -3.21031 -2.89767 0.00797256 0.0209078 0.0042836 -0.0202937
258 -1.17127 13.9605 -1.60776 0.00327633 0.0217695 0.015115 -0.0162797
259 8.58812 -5.35666 -7.442 -0.00792043 0.00326555 -0.0162028 -0.0307853
260 10.2548 -3.37831 -2.18247 0.00814322 0.0185395 -0.00252496 -0.0254202
261 -0.60887 7.44701 6.82384 -0.00417593 0.0109558 -0.0286018 -0.0299684
262 -5.46133 -13.3231 -6.17024 -0.00138041 0.00774052 0.0104562 -0.0158766
263 0.37329 -6.42158 -11.7737 0.00855641 -0.00556626 -0.010689 -0.0249269
264 -4.32129 -11.341 -14.8739 0.000917968 0.00716561 -0.0346868 -0.0199601
265 -13.5846 -3.02049 -2.59074 -0.0130544 0.00661587 -0.00900855 -0.0150414
266 -5.55571 12.5162 -5.56934 -0.00288619 -0.00260389 -0.0314857 -0.021866
267 -11.4698 3.86731 0.63628 -0.00447366 -0.0158873 -0.00143132 -0.0265802
268 6.95535 3.5671 11.9462 0.000455305 -0.00802693 0.0140433 -0.0191615
269 6.26824 5.82549 8.28857 -0.0120624 0.00357629 -0.000273521 -0.0284265
270 -11.0194 -10.1286 13.1164 0.0294464 0.000762959 0.00978298 -0.0138621
271 -1.35982 12.4499 12.4972 -0.0317183 -0.00681254 -0.00312207 -0.0201624
272 -1.44822 14.4476 15.5912 0.00235493 0.00515754 0.0075225 -0.00402244
273 -3.46978 0.28446 -3.55116 0.0150885 -0.0171534 0.0207851 -0.0221476
274 -13.3605 -5.28904 2.87856 0.02769 0.0254966 -0.00194951 -0.0229774
275 13.8221 -9.13821 7.96894 0.014949 -0.00535125 0.0136284 -0.0142948
276 -9.52951 -13.0844 -1.57391 -0.012606 -0.0163411 1.29429e-05 -0.0326539
277 12.9738 -5.25697 13.7782 -0.0189834 -0.00198721 0.00308926 -0.021995
278 4.02508 0.36164 6.01945 0.00188064 0.0128701 0.00471015 -0.0199943
279 4.22484 -5.64721 -0.93246 -0.00361133 -0.0106734 -0.00716348 -0.0247056
280 -15.2295 8.22795 -10.5111 -0.00852962 -0.0010886 0.0135191 -0.0111479
281 -9.88848 -5.97759 2.98566 0.000521174 0.00194863 0.0108057 -0.0161251
282 -6.62603 12.2949 -0.11603 0.00732652 -0.0086963 -0.00983326 -0.0269395
283 -3.62162 2.19432 -7.04779 0.0100312 -0.00352111 -0.00113411 -0.0241009
284 -6.07576 -4.77506 -4.58181 -0.0124364 -0.0119904 -0.0258406 -0.0224536
285 0.38152 -9.0936 -2.61463 -0.00185851 0.00403516 0.00327723 -0.0250669
286 -11.6551 13.9251 -3.14973 0.00752799 0.0190033 -0.01361 -0.0154388
287 8.65084 8.66734 -5.64723 0.0225148 -0.0139551 -0.0122079 -0.0215754
288 -13.6653 -5.66469 9.82006 -0.0169961 -0.00614613 0.00844534 -0.0164218
289 -6.85165 -13.9201 1.28141 0.0164527 -0.0386339 -0.0106907 -0.0214983
290 14.6895 -4.83329 15.9221 0.0128212 0.0159181 0.0204548 -0.009499
291 -15.1012 -10.469 -9.3846 -0.0104461 -0.00405796 0.000870767 -0.00847253
292 -0.78385 -14.4658 -0.04315 0.00255122 -0.0467473 -0.0115901 -0.0173147
293 -11.4832 -14.9226 10.9828 0.0163908 -0.0333556 -0.0189282 -0.015738
294 -13.4043 -4.44184 7.35749 -0.00364464 0.00438173 -0.00587809 -0.01597
295 -15.1207 11.1452 -7.22552 -0.0114676 0.0125007 -0.00550495 -0.0090323
296 10.0597 13.1723 -12.844 0.0211648 -0.00017298 0.0231039 -0.012928
297 -15.8381 14.4917 -5.58996 -0.00670634 -0.00312464 0.0178361 -0.00645183
298 13.925 -15.3024 6.67339 0.00190046 -0.0171521 0.0175809 -0.0120731
299 7.80697 -6.71169 6.72461 -0.000175434 0.0425793 0.0357927 -0.0282994
300 -5.08247 2.4894 -3.20155 -0.0262913 0.0124738 -0.0117014 -0.0261914
301 -8.39062 -5.51627 -10.4689 -0.0114155 0.00595852 0.0285584 -0.0212538
302 -9.75796 7.03415 -6.2076 -0.0123238 0.020492 -0.00423912 -0.0208759
303 -8.71063 -12.6204 5.00303 -0.00618212 -0.018546 -0.00771871 -0.0217321
304 -14.0493 -13.5592 15.4781 -0.00144372 -0.0280837 0.0346457 -0.0151591
305 6.22813 -5.50978 3.33397 0.017543 0.00155082 -0.0333274 -0.0286368
306 -15.5505 14.8273 -15.0403 -0.0101762 0.0061325 -0.00892173 -0.00423579
307 -7.84318 -11.7976 -3.14851 -0.000441061 0.021474 -0.0170073 -0.0301663
308 -4.45032 15.0645 -4.63032 0.0027458 0.026353 -0.00780092 -0.0108739
309 7.62498 2.15584 -5.31101 0.00614212 -0.000610159 -0.00994343 -0.0195314
